tab,cell,was,now
S2,G5,"Dalston","Dalston Eagles"
S3,C5,"Enjoy your Mane Jane","Enjoy Your Mane Jane"
S3,E5,"Dign Cats","Ding Cats"
S3,L5,"Ding cats","Ding Cats"
S3,O5,"Enjoy your Mane Jane","Enjoy Your Mane Jane"
S4,E5,"Enjoy your Mane Jane","Enjoy Your Mane Jane"
S4,G5,"Spudos FC","Spudos"
S4,I5,"DingCats","Ding Cats"
S4,K5,"Old ivy","Old Ivy"
S4,M5,"Enjoy your mane Jane","Enjoy Your Mane Jane"
S5,D5,"Enjoy your mane Jane","Enjoy Your Mane Jane"
S5,E5,"Old ivy","Old Ivy"
S5,F5,"Not Very often","Not Very Often"
S5,G5,"britannias","The Britannias"
S5,H5,"DingCats","Ding Cats"
S5,I5,"Dukes","Dukes Select"
S5,J5,"Old ivy","Old Ivy"
S5,K5,"Enjoy","Enjoy Your Mane Jane"
S5,L5,"Britannias","The Britannias"
S5,N5,"DingCats","Ding Cats"
S5,O5,"Not very often","Not Very Often"
S6,B5,"Mane Jane","Enjoy Your Mane Jane"
S6,H5,"Old Ivy FC","Old Ivy"
S6,J5,"enjoy your mane","Enjoy Your Mane Jane"
S6,O5,"Cottesmore","Cottesmore FC"
S7,B5,"Enjoy your Mane Jane","Enjoy Your Mane Jane"
S7,I5,"Oly Ivy","Old Ivy"
S7,J5,"Enjoy your mane Jane","Enjoy Your Mane Jane"
S7,P5,"Xzr Fc","XZR FC"
S1,F6,"1","2"
S1,F7,"2","1"
Money,F4:F31,"=SUMIF(Payments!$B:$B,$A4,Payments!$C:$C)  (filled down)","=SUMIF(Payments!$B:$B,$A4,Payments!$C:$C)+IF($A4=$B$2,IFERROR(SUMPRODUCT((INDIRECT("'"&B$1&"'!$B$14:$U$14")>0)*INDIRECT("'"&B$1&"'!$B$13:$U$13")),0),0)+IF($A4=$C$2,IFERROR(SUMPRODUCT((INDIRECT("'"&C$1&"'!$B$14:$U$14")>0)*INDIRECT("'"&C$1&"'!$B$13:$U$13")),0),0)+IF($A4=$D$2,IFERROR(SUMPRODUCT((INDIRECT("'"&D$1&"'!$B$14:$U$14")>0)*INDIRECT("'"&D$1&"'!$B$13:$U$13")),0),0)  (fill down to F31)"
Money,G3,"Balance owed","Balance (+ owes · − is owed)"
S1,A25,"Eddie Ringer","Eddie McLaughlin"
S1,A37,"Robin","Robin Watson"
S2,A25,"Eddie Ringer","Eddie McLaughlin"
S2,A37,"Robin","Robin Watson"
S3,A25,"Eddie Ringer","Eddie McLaughlin"
S3,A37,"Robin","Robin Watson"
S4,A25,"Eddie Ringer","Eddie McLaughlin"
S4,A37,"Robin","Robin Watson"
S5,O10,"Eddie Ringer","Eddie McLaughlin"
S5,A25,"Eddie Ringer","Eddie McLaughlin"
S5,A37,"Robin","Robin Watson"
S6,A25,"Eddie Ringer","Eddie McLaughlin"
S6,A37,"Robin","Robin Watson"
S7,A25,"Eddie Ringer","Eddie McLaughlin"
S7,A37,"Robin","Robin Watson"
S8,A25,"Eddie Ringer","Eddie McLaughlin"
S8,A37,"Robin","Robin Watson"
Season template,A25,"Eddie Ringer","Eddie McLaughlin"
Season template,A37,"Robin","Robin Watson"
All-time,A10,"Eddie Ringer","Eddie McLaughlin"
All-time,A22,"Robin","Robin Watson"
Money,A11,"Eddie Ringer","Eddie McLaughlin"
Money,A23,"Robin","Robin Watson"
Friendlies,(new tab),"","copy of Season template: title in A1, headers Game 1–20, Type row = Friendly"
